CATEGORY,NO,AREA_CD,AREA_NM,ENG_NM,LAT,LNG
관광특구,1,POI001,강남 MICE 관광특구,Gangnam MICE Special Tourist Zone,37.5113,127.0596
관광특구,2,POI002,동대문 관광특구,Dongdaemun Fashion Town Special Tourist Zone,37.569193252641526,127.01282716149097
관광특구,3,POI003,명동 관광특구,Myeong-dong Namdaemun Bukchang-dong Da-dong Mugyo-dong Special Tourist Zone,37.5626571977151,126.985209080382
관광특구,4,POI004,이태원 관광특구,Itaewon Special Tourist Zone,37.5349073364554,126.997388675434
관광특구,5,POI005,잠실 관광특구,Jamsil Special Tourist Zone,37.5133,127.1001
관광특구,6,POI006,종로·청계 관광특구,Jongno Cheonggye Special Toruist Zone,37.577613288258206,126.97689786832184
관광특구,7,POI007,홍대 관광특구,HongDae Culture & Arts Special Tourist Zone,37.5573,126.9245
고궁·문화유산,8,POI008,경복궁,Gyeongbokgung Palace,37.577613288258206,126.97689786832184
고궁·문화유산,9,POI009,광화문·덕수궁,Gwanghwamun & Deoksugung Palace,37.57596445980707,126.97685309595215
고궁·문화유산,10,POI010,보신각,Bosingak,37.5697676518348,126.983645583112
고궁·문화유산,11,POI011,서울 암사동 유적,Amsa Prehistoric Settlement Site,37.5605464139303,127.130257802123
고궁·문화유산,12,POI012,창덕궁·종묘,Changdeokgung Palace & Jongmyo Shrine,37.57964694739535,126.99099980677127
인구밀집지역,13,POI013,가산디지털단지역,Gasan Digital Complex station,37.4803959660982,126.882661758356
인구밀집지역,14,POI014,강남역,Gangnam station,37.49808633653005,127.02800140627488
인구밀집지역,15,POI015,건대입구역,Konkuk University station,37.54040751726388,127.06920291650829
인구밀집지역,16,POI016,고덕역,Godeok station,37.55504766830918,127.15416500963447
인구밀집지역,17,POI017,고속터미널역,Express Bus Terminal station,37.50454885557265,127.00512100872538
인구밀집지역,18,POI018,교대역,Seoul National University of Education station,37.4927431676548,127.013867969161
인구밀집지역,19,POI019,구로디지털단지역,Guro Digital Complex station,37.4852605752505,126.901473080039
인구밀집지역,20,POI020,구로역,Guro station,37.50334155631282,126.88230806229326
인구밀집지역,21,POI021,군자역,Gunja station,37.557151488837924,127.0795106156054
인구밀집지역,22,POI023,대림역,Daerim station,37.4933099444417,126.894931036051
인구밀집지역,23,POI024,동대문역,Dongdaemun station,37.57166940579655,127.0106338108367
인구밀집지역,24,POI025,뚝섬역,Ttukseom station,37.547241554679,127.04738727881
인구밀집지역,25,POI026,미아사거리역,Miasageori station,37.61327836400571,127.03008663628454
인구밀집지역,26,POI027,발산역,Balsan station,37.558677743241596,126.83773640693936
인구밀집지역,27,POI029,사당역,Sadang station,37.47656223234824,126.98155858357366
인구밀집지역,28,POI030,삼각지역,Samgakji station,37.5344393447708,126.972922951307
인구밀집지역,29,POI031,서울대입구역,Seoul National University station,37.4812845080678,126.952713197762
인구밀집지역,30,POI032,서울식물원·마곡나루역,Seoul Botanic Park·Magongnaru station,37.5693958477101,126.835037244018
인구밀집지역,31,POI033,서울역,Seoul station,37.55406888733184,126.97070335253385
인구밀집지역,32,POI034,선릉역,Seolleung station,37.504497373023206,127.04896282498558
인구밀집지역,33,POI035,성신여대입구역,Sungshin Women's University station,37.59296812939267,127.0171260607647
인구밀집지역,34,POI036,수유역,Suyu station,37.63788539420793,127.02550910860451
인구밀집지역,35,POI037,신논현역·논현역,Sinnonhyeon·Nonhyeon station,37.504811111562,127.025492036104
인구밀집지역,36,POI038,신도림역,Sindorim station,37.508908482648,126.891312500851
인구밀집지역,37,POI039,신림역,Sillim station,37.484267135140364,126.9297453749671
인구밀집지역,38,POI040,신촌·이대역,Sinchon·Ewha Womans University station,37.575422861783345,126.94816634534915
인구밀집지역,39,POI041,양재역,Yangjae station,37.48457681195669,127.03416413380752
인구밀집지역,40,POI042,역삼역,Yeoksam station,37.5006744185994,127.03646946847
인구밀집지역,41,POI043,연신내역,Yeonsinnae station,37.61920414913163,126.92110296894133
인구밀집지역,42,POI044,오목교역·목동운동장,Omokgyo·Mok-dong Stadium station,37.5245340839144,126.875307312696
인구밀집지역,43,POI045,왕십리역,Wangsimni station,37.561268363317176,127.03710337610202
인구밀집지역,44,POI046,용산역,Yongsan station,37.5300763645794,126.964824061815
